goodsId,goodsSn,productNo,goodsName,goodsImg,shopId,goodsType,marketPrice,shopPrice,warnStock,goodsStock,goodsUnit,goodsTips,isSale,isBest,isHot,isNew,isRecom,goodsCatIdPath,goodsCatId,shopCatId1,shopCatId2,brandId,goodsDesc,goodsStatus,saleNum,saleTime,visitNum,appraiseNum,isSpec,gallery,goodsSeoKeywords,illegalRemarks,dataFlag,createTime,isFreeShipping,goodsSerachKeywords,modifyTime
"115465","6685683","6685683","特步983218319266","https://item.jd.com/6685683.html","100213","0","0.00","238.00","0","0","个",\N,"1","0","0","0","0",\N,"10350","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115466","6703064","6703064","雅马哈PACIFICA112JB","https://item.jd.com/6703064.html","100174","0","0.00","1980.00","0","0","个",\N,"1","0","0","0","0",\N,"10302","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115467","6703066","6703066","马丁DXK2AE","https://item.jd.com/6703066.html","100459","0","0.00","5000.00","0","0","个",\N,"1","0","0","0","0",\N,"10302","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115468","6703068","6703068","马丁GPCX2AE","https://item.jd.com/6703068.html","100459","0","0.00","6580.00","0","0","个",\N,"1","0","0","0","0",\N,"10302","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115469","6703080","6703080","马丁000RS1","https://item.jd.com/6703080.html","100459","0","0.00","7500.00","0","0","个",\N,"1","0","0","0","0",\N,"10302","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115470","6707875","6707875","戴森V10Absolute","https://item.jd.com/6707875.html","100118","0","0.00","4490.00","0","0","个",\N,"1","0","0","0","0",\N,"10304","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115471","6729521","6729521","木以成居LY-4103","https://item.jd.com/6729521.html","101793","0","0.00","199.00","0","0","个",\N,"1","0","0","0","0",\N,"10432","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115472","6744151","6744151","美的YR1710T","https://item.jd.com/6744151.html","100089","0","0.00","799.00","0","0","个",\N,"1","0","0","0","0",\N,"10437","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115473","6758389","6758389","心家宜书架","https://item.jd.com/6758389.html","100445","0","0.00","339.00","0","0","个",\N,"1","0","0","0","0",\N,"10271","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115474","6762180","6762180","松下MC-8R87C","https://item.jd.com/6762180.html","100180","0","0.00","3299.00","0","0","个",\N,"1","0","0","0","0",\N,"10329","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115475","6763103","6763103","桂龙一次性使用吸痰管（50支装）F12","https://item.jd.com/6763103.html","105278","0","0.00","125.00","0","0","个",\N,"1","0","0","0","0",\N,"10319","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115476","676612","676612","铁三角ATH-FC707","https://item.jd.com/676612.html","100171","0","0.00","318.00","0","0","个",\N,"1","0","0","0","0",\N,"10395","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
